"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto","Boana pugnax",TRUE,1,25,33.8,NA,NA,33.8,1.4,12.5
"2","VES","Bosque Abierto","Dendropsophus microcephalus",TRUE,2,20,27,NA,NA,60.8,1.3,25
"3","VES","Bosque Abierto","Scinax ruber",TRUE,3,12,16.2,NA,NA,77,1.1,37.5
"4","VES","Bosque Abierto","Engystomops pustulosus",FALSE,4,10,13.5,NA,NA,90.5,1,50
"5","VES","Bosque Abierto","Scinax rostratus",FALSE,5,4,5.4,NA,NA,95.9,0.6,62.5
"6","VES","Bosque Abierto","Leptodactylus fragilis",FALSE,6,1,1.4,NA,NA,97.3,0,75
"7","VES","Bosque Abierto","Craugastor metriosistus",FALSE,7,1,1.4,NA,NA,98.6,0,87.5
"8","VES","Bosque Abierto","Scarthyla vigilans",FALSE,8,1,1.4,NA,NA,100,0,100
"9","VES","Bosque Denso","Smilisca phaeota",TRUE,1,11,21.2,NA,NA,21.2,1,9.1
"10","VES","Bosque Denso","Engystomops pustulosus",TRUE,2,9,17.3,NA,NA,38.5,1,18.2
"11","VES","Bosque Denso","Dendrobates truncatus",TRUE,3,9,17.3,NA,NA,55.8,1,27.3
"12","VES","Bosque Denso","Pristimantis gaigei",FALSE,4,8,15.4,NA,NA,71.2,0.9,36.4
"13","VES","Bosque Denso","Scinax ruber",FALSE,5,4,7.7,NA,NA,78.8,0.6,45.5
"14","VES","Bosque Denso","Craugastor metriosistus",FALSE,6,4,7.7,NA,NA,86.5,0.6,54.5
"15","VES","Bosque Denso","Phyllomedusa venusta",FALSE,7,3,5.8,NA,NA,92.3,0.5,63.6
"16","VES","Bosque Denso","Bolitoglossa lozanoi",FALSE,8,1,1.9,NA,NA,94.2,0,72.7
"17","VES","Bosque Denso","Rhinella horribilis",FALSE,9,1,1.9,NA,NA,96.2,0,81.8
"18","VES","Bosque Denso","Boana pugnax",FALSE,10,1,1.9,NA,NA,98.1,0,90.9
"19","VES","Bosque Denso","Scinax rostratus",FALSE,11,1,1.9,NA,NA,100,0,100
"20","VES","Bosque Ripario","Engystomops pustulosus",TRUE,1,337,34.2,NA,NA,34.2,2.5,4.3
"21","VES","Bosque Ripario","Dendrobates truncatus",TRUE,2,203,20.6,NA,NA,54.9,2.3,8.7
"22","VES","Bosque Ripario","Lithobates vaillanti",TRUE,3,75,7.6,NA,NA,62.5,1.9,13
"23","VES","Bosque Ripario","Craugastor metriosistus",FALSE,4,71,7.2,NA,NA,69.7,1.9,17.4
"24","VES","Bosque Ripario","Scinax rostratus",FALSE,5,56,5.7,NA,NA,75.4,1.7,21.7
"25","VES","Bosque Ripario","Pseudopaludicola pusilla",FALSE,6,48,4.9,NA,NA,80.3,1.7,26.1
"26","VES","Bosque Ripario","Boana pugnax",FALSE,7,45,4.6,NA,NA,84.9,1.7,30.4
"27","VES","Bosque Ripario","Leptodactylus insularum",FALSE,8,28,2.8,NA,NA,87.7,1.4,34.8
"28","VES","Bosque Ripario","Scinax ruber",FALSE,9,27,2.7,NA,NA,90.4,1.4,39.1
"29","VES","Bosque Ripario","Rhinella horribilis",FALSE,10,14,1.4,NA,NA,91.9,1.1,43.5
"30","VES","Bosque Ripario","Leptodactylus savagei",FALSE,11,13,1.3,NA,NA,93.2,1.1,47.8
