"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Caracterizacion","Craugastor metriosistus",TRUE,1,60,32.3,NA,NA,32.3,1.8,5.3
"2","VES","Caracterizacion","Dendrobates truncatus",TRUE,2,31,16.7,NA,NA,48.9,1.5,10.5
"3","VES","Caracterizacion","Engystomops pustulosus",TRUE,3,30,16.1,NA,NA,65.1,1.5,15.8
"4","VES","Caracterizacion","Pristimantis gaigei",FALSE,4,12,6.5,NA,NA,71.5,1.1,21.1
"5","VES","Caracterizacion","Rhinella horribilis",FALSE,5,11,5.9,NA,NA,77.4,1,26.3
"6","VES","Caracterizacion","Scinax rostratus",FALSE,6,9,4.8,NA,NA,82.3,1,31.6
"7","VES","Caracterizacion","Smilisca phaeota",FALSE,7,6,3.2,NA,NA,85.5,0.8,36.8
"8","VES","Caracterizacion","Leptodactylus savagei",FALSE,8,4,2.2,NA,NA,87.6,0.6,42.1
"9","VES","Caracterizacion","Lithobates vaillanti",FALSE,9,4,2.2,NA,NA,89.8,0.6,47.4
"10","VES","Caracterizacion","Boana pugnax",FALSE,10,3,1.6,NA,NA,91.4,0.5,52.6
"11","VES","Caracterizacion","Dendropsophus microcephalus",FALSE,11,3,1.6,NA,NA,93,0.5,57.9
"12","VES","Caracterizacion","Phyllomedusa venusta",FALSE,12,2,1.1,NA,NA,94.1,0.3,63.2
"13","VES","Caracterizacion","Allobates niputidea",FALSE,13,2,1.1,NA,NA,95.2,0.3,68.4
"14","VES","Caracterizacion","Pseudopaludicola pusilla",FALSE,14,2,1.1,NA,NA,96.2,0.3,73.7
"15","VES","Caracterizacion","Bolitoglossa lozanoi",FALSE,15,2,1.1,NA,NA,97.3,0.3,78.9
"16","VES","Caracterizacion","Diasporus anthrax",FALSE,16,2,1.1,NA,NA,98.4,0.3,84.2
"17","VES","Caracterizacion","Scinax ruber",FALSE,17,1,0.5,NA,NA,98.9,0,89.5
"18","VES","Caracterizacion","Agalychnis terranova",FALSE,18,1,0.5,NA,NA,99.5,0,94.7
"19","VES","Caracterizacion","Leptodactylus fragilis",FALSE,19,1,0.5,NA,NA,100,0,100
"20","VES","Kale","Scarthyla vigilans",TRUE,1,150,22.5,NA,NA,22.5,2.2,3.8
"21","VES","Kale","Dendropsophus microcephalus",TRUE,2,138,20.7,NA,NA,43.2,2.1,7.7
"22","VES","Kale","Engystomops pustulosus",TRUE,3,74,11.1,NA,NA,54.3,1.9,11.5
"23","VES","Kale","Craugastor metriosistus",FALSE,4,45,6.7,NA,NA,61,1.7,15.4
"24","VES","Kale","Boana pugnax",FALSE,5,40,6,NA,NA,67,1.6,19.2
"25","VES","Kale","Scinax ruber",FALSE,6,31,4.6,NA,NA,71.7,1.5,23.1
"26","VES","Kale","Dendrobates truncatus",FALSE,7,27,4,NA,NA,75.7,1.4,26.9
"27","VES","Kale","Scinax rostratus",FALSE,8,26,3.9,NA,NA,79.6,1.4,30.8
"28","VES","Kale","Leptodactylus fuscus",FALSE,9,24,3.6,NA,NA,83.2,1.4,34.6
"29","VES","Kale","Bolitoglossa lozanoi",FALSE,10,21,3.1,NA,NA,86.4,1.3,38.5
"30","VES","Kale","Leptodactylus fragilis",FALSE,11,19,2.8,NA,NA,89.2,1.3,42.3
"31","VES","Kale","Lithobates vaillanti",FALSE,12,16,2.4,NA,NA,91.6,1.2,46.2
"32","VES","Kale","Pseudis paradoxa",FALSE,13,10,1.5,NA,NA,93.1,1,50
"33","VES","Kale","Rhinella horribilis",FALSE,14,7,1,NA,NA,94.2,0.8,53.8
"34","VES","Kale","Pseudopaludicola pusilla",FALSE,15,6,0.9,NA,NA,95.1,0.8,57.7
"35","VES","Kale","Leptodactylus insularum",FALSE,16,6,0.9,NA,NA,96,0.8,61.5
"36","VES","Kale","Rhinella humboldti",FALSE,17,5,0.7,NA,NA,96.7,0.7,65.4
"37","VES","Kale","Elachistocleis pearsei",FALSE,18,4,0.6,NA,NA,97.3,0.6,69.2
"38","VES","Kale","Leptodactylus savagei",FALSE,19,4,0.6,NA,NA,97.9,0.6,73.1
"39","VES","Kale","Pristimantis gaigei",FALSE,20,3,0.4,NA,NA,98.4,0.5,76.9
"40","VES","Kale","Pleurodema brachyops",FALSE,21,3,0.4,NA,NA,98.8,0.5,80.8
"41","VES","Kale","Smilisca phaeota",FALSE,22,2,0.3,NA,NA,99.1,0.3,84.6
"42","VES","Kale","Phyllomedusa venusta",FALSE,23,2,0.3,NA,NA,99.4,0.3,88.5
"43","VES","Kale","Elachistocleis panamensis",FALSE,24,2,0.3,NA,NA,99.7,0.3,92.3
"44","VES","Kale","Hyalinobatrachium tatayoi",FALSE,25,1,0.1,NA,NA,99.9,0,96.2
"45","VES","Kale","Trachycephalus typhonius",FALSE,26,1,0.1,NA,NA,100,0,100
"46","VES","Platero","Scarthyla vigilans",TRUE,1,159,32.6,NA,NA,32.6,2.2,5
"47","VES","Platero","Dendropsophus microcephalus",TRUE,2,90,18.4,NA,NA,51,2,10
"48","VES","Platero","Engystomops pustulosus",TRUE,3,67,13.7,NA,NA,64.8,1.8,15
"49","VES","Platero","Craugastor metriosistus",FALSE,4,47,9.6,NA,NA,74.4,1.7,20
"50","VES","Platero","Dendrobates truncatus",FALSE,5,20,4.1,NA,NA,78.5,1.3,25
"51","VES","Platero","Leptodactylus savagei",FALSE,6,14,2.9,NA,NA,81.4,1.1,30
"52","VES","Platero","Boana pugnax",FALSE,7,13,2.7,NA,NA,84,1.1,35
"53","VES","Platero","Lithobates vaillanti",FALSE,8,13,2.7,NA,NA,86.7,1.1,40
