"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","Caracterizacion","Saccoderma hastata",TRUE,1,21,14.4,NA,NA,14.4,1.3,4.2
"2","Arrastre","Caracterizacion","Astyanax magdalenae",TRUE,2,19,13,NA,NA,27.4,1.3,8.3
"3","Arrastre","Caracterizacion","Characidium zebra",TRUE,3,14,9.6,NA,NA,37,1.1,12.5
"4","Arrastre","Caracterizacion","Gephyrocharax melanocheir",FALSE,4,13,8.9,NA,NA,45.9,1.1,16.7
"5","Arrastre","Caracterizacion","Andinoacara latifrons",FALSE,5,10,6.8,NA,NA,52.7,1,20.8
"6","Arrastre","Caracterizacion","Astyanax sp. 1",FALSE,6,9,6.2,NA,NA,58.9,1,25
"7","Arrastre","Caracterizacion","Creagrutus affinis",FALSE,7,7,4.8,NA,NA,63.7,0.8,29.2
"8","Arrastre","Caracterizacion","Rivulus xi",FALSE,8,6,4.1,NA,NA,67.8,0.8,33.3
"9","Arrastre","Caracterizacion","Sturisomatichthys aureus",FALSE,9,6,4.1,NA,NA,71.9,0.8,37.5
"10","Arrastre","Caracterizacion","Rineloricaria magdalenae",FALSE,10,5,3.4,NA,NA,75.3,0.7,41.7
"11","Arrastre","Caracterizacion","Hyphessobrycon natagaima",FALSE,11,5,3.4,NA,NA,78.8,0.7,45.8
"12","Arrastre","Caracterizacion","Geophagus steindachneri",FALSE,12,4,2.7,NA,NA,81.5,0.6,50
"13","Arrastre","Caracterizacion","Gasteropelecus maculatus",FALSE,13,4,2.7,NA,NA,84.2,0.6,54.2
"14","Arrastre","Caracterizacion","Poecilia caucana",FALSE,14,4,2.7,NA,NA,87,0.6,58.3
"15","Arrastre","Caracterizacion","Roeboides dayi",FALSE,15,3,2.1,NA,NA,89,0.5,62.5
"16","Arrastre","Caracterizacion","Caquetaia kraussii",FALSE,16,3,2.1,NA,NA,91.1,0.5,66.7
"17","Arrastre","Caracterizacion","Astyanax sp. 2",FALSE,17,3,2.1,NA,NA,93.2,0.5,70.8
"18","Arrastre","Caracterizacion","Brachyhypopomus occidentalis",FALSE,18,3,2.1,NA,NA,95.2,0.5,75
"19","Arrastre","Caracterizacion","Eigenmannia camposi",FALSE,19,2,1.4,NA,NA,96.6,0.3,79.2
"20","Arrastre","Caracterizacion","Astyanax yariguies",FALSE,20,1,0.7,NA,NA,97.3,0,83.3
"21","Arrastre","Caracterizacion","Astyanax filiferus",FALSE,21,1,0.7,NA,NA,97.9,0,87.5
"22","Arrastre","Caracterizacion","Hypostomus hondae",FALSE,22,1,0.7,NA,NA,98.6,0,91.7
"23","Arrastre","Caracterizacion","Pimelodella floridablancaensis",FALSE,23,1,0.7,NA,NA,99.3,0,95.8
"24","Arrastre","Caracterizacion","Apteronotus milesi",FALSE,24,1,0.7,NA,NA,100,0,100
"25","Arrastre","Kale","Hyphessobrycon natagaima",TRUE,1,347,31.5,NA,NA,31.5,2.5,2.3
"26","Arrastre","Kale","Astyanax sp. 2",TRUE,2,155,14.1,NA,NA,45.5,2.2,4.5
"27","Arrastre","Kale","Cyphocharax magdalenae",TRUE,3,72,6.5,NA,NA,52,1.9,6.8
"28","Arrastre","Kale","Poecilia caucana",FALSE,4,55,5,NA,NA,57,1.7,9.1
"29","Arrastre","Kale","Astyanax yariguies",FALSE,5,52,4.7,NA,NA,61.7,1.7,11.4
"30","Arrastre","Kale","Roeboides dayi",FALSE,6,45,4.1,NA,NA,65.8,1.7,13.6
