"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Caracterizacion","Gonatodes albogularis",TRUE,1,34,40,NA,NA,40,1.5,7.7
"2","VES","Caracterizacion","Anolis tropidogaster",TRUE,2,15,17.6,NA,NA,57.6,1.2,15.4
"3","VES","Caracterizacion","Basiliscus galeritus",TRUE,3,11,12.9,NA,NA,70.6,1,23.1
"4","VES","Caracterizacion","Loxopholis rugiceps",FALSE,4,6,7.1,NA,NA,77.6,0.8,30.8
"5","VES","Caracterizacion","Leptodeira annulata",FALSE,5,6,7.1,NA,NA,84.7,0.8,38.5
"6","VES","Caracterizacion","Anolis auratus",FALSE,6,3,3.5,NA,NA,88.2,0.5,46.2
"7","VES","Caracterizacion","Caiman crocodilus",FALSE,7,2,2.4,NA,NA,90.6,0.3,53.8
"8","VES","Caracterizacion","Hemidactylus frenatus",FALSE,8,2,2.4,NA,NA,92.9,0.3,61.5
"9","VES","Caracterizacion","Imantodes cenchoa",FALSE,9,2,2.4,NA,NA,95.3,0.3,69.2
"10","VES","Caracterizacion","Corallus ruschenbergerii",FALSE,10,1,1.2,NA,NA,96.5,0,76.9
"11","VES","Caracterizacion","Atractus",FALSE,11,1,1.2,NA,NA,97.6,0,84.6
"12","VES","Caracterizacion","Holcosus festivus",FALSE,12,1,1.2,NA,NA,98.8,0,92.3
"13","VES","Caracterizacion","Enuliophis sclateri",FALSE,13,1,1.2,NA,NA,100,0,100
"14","VES","Kale","Loxopholis rugiceps",TRUE,1,38,21,NA,NA,21,1.6,4.2
"15","VES","Kale","Gonatodes albogularis",TRUE,2,30,16.6,NA,NA,37.6,1.5,8.3
"16","VES","Kale","Caiman crocodilus",TRUE,3,22,12.2,NA,NA,49.7,1.3,12.5
"17","VES","Kale","Basiliscus galeritus",FALSE,4,21,11.6,NA,NA,61.3,1.3,16.7
"18","VES","Kale","Anolis tropidogaster",FALSE,5,15,8.3,NA,NA,69.6,1.2,20.8
"19","VES","Kale","Anolis auratus",FALSE,6,11,6.1,NA,NA,75.7,1,25
"20","VES","Kale","Imantodes cenchoa",FALSE,7,9,5,NA,NA,80.7,1,29.2
"21","VES","Kale","Corallus ruschenbergerii",FALSE,8,6,3.3,NA,NA,84,0.8,33.3
"22","VES","Kale","Helicops danieli",FALSE,9,5,2.8,NA,NA,86.7,0.7,37.5
"23","VES","Kale","Cnemidophorus lemniscatus",FALSE,10,4,2.2,NA,NA,89,0.6,41.7
"24","VES","Kale","Mabuya",FALSE,11,3,1.7,NA,NA,90.6,0.5,45.8
"25","VES","Kale","Thamnodynastes gambotensis",FALSE,12,3,1.7,NA,NA,92.3,0.5,50
"26","VES","Kale","Thecadactylus rapicauda",FALSE,13,2,1.1,NA,NA,93.4,0.3,54.2
"27","VES","Kale","Leptodeira annulata",FALSE,14,2,1.1,NA,NA,94.5,0.3,58.3
"28","VES","Kale","Ameiva ameiva",FALSE,15,1,0.6,NA,NA,95,0,62.5
"29","VES","Kale","Sphaerodactylus lineolatus",FALSE,16,1,0.6,NA,NA,95.6,0,66.7
"30","VES","Kale","Leptophis ahaetulla",FALSE,17,1,0.6,NA,NA,96.1,0,70.8
"31","VES","Kale","Tantilla melanocephala",FALSE,18,1,0.6,NA,NA,96.7,0,75
"32","VES","Kale","Enuliophis sclateri",FALSE,19,1,0.6,NA,NA,97.2,0,79.2
"33","VES","Kale","Chironius spixii",FALSE,20,1,0.6,NA,NA,97.8,0,83.3
"34","VES","Kale","Kinosternon scorpioides",FALSE,21,1,0.6,NA,NA,98.3,0,87.5
"35","VES","Kale","Liotyphlops albirostris",FALSE,22,1,0.6,NA,NA,98.9,0,91.7
"36","VES","Kale","Diploglossus monotropis",FALSE,23,1,0.6,NA,NA,99.4,0,95.8
"37","VES","Kale","Rhinoclemmys melanosterna",FALSE,24,1,0.6,NA,NA,100,0,100
"38","VES","Platero","Basiliscus galeritus",TRUE,1,47,24.5,NA,NA,24.5,1.7,3.8
"39","VES","Platero","Loxopholis rugiceps",TRUE,2,30,15.6,NA,NA,40.1,1.5,7.7
"40","VES","Platero","Gonatodes albogularis",TRUE,3,24,12.5,NA,NA,52.6,1.4,11.5
"41","VES","Platero","Anolis auratus",FALSE,4,20,10.4,NA,NA,63,1.3,15.4
"42","VES","Platero","Anolis tropidogaster",FALSE,5,18,9.4,NA,NA,72.4,1.3,19.2
"43","VES","Platero","Caiman crocodilus",FALSE,6,13,6.8,NA,NA,79.2,1.1,23.1
"44","VES","Platero","Lepidoblepharis xanthostigma",FALSE,7,8,4.2,NA,NA,83.3,0.9,26.9
"45","VES","Platero","Leptophis ahaetulla",FALSE,8,3,1.6,NA,NA,84.9,0.5,30.8
